geeky,StarWars_fandom,StarWars_knowledge,StarTrek_fandom,StarTrek_knowledge,StarWars_obscure,StarTrek_obscure,familiar,desert_island,age,gender,continent,sector,MDS,sw_score,st_score
3,1,1,1,1,FALSE,FALSE,neither,neither,25,Male,North America,Biology/Medicine,TRUE,0.14814814814814814,0.14814814814814814
2,3,2,3,1,FALSE,FALSE,neither,Star Wars,NA,Other,Asia,Finance/Economics/Business,TRUE,0.37037037037037035,0.2962962962962963
4,3,3,2,1,FALSE,FALSE,Star Wars,Star Wars,35,Male,North America,Tech,FALSE,0.6296296296296297,0.2222222222222222
3,4,3,1,1,FALSE,FALSE,Star Wars,Star Wars,35,Female,North America,Finance/Economics/Business,FALSE,0.7037037037037037,0.14814814814814814
3,3,1,1,1,FALSE,FALSE,neither,neither,35,Male,Oceania,Tech,TRUE,0.2962962962962963,0.14814814814814814
2,3,4,3,1,FALSE,FALSE,Star Wars,Star Trek,25,Female,North America,Engineering,TRUE,0.7037037037037037,0.2962962962962963
2,2,2,1,1,FALSE,FALSE,Star Wars,Star Wars,35,Female,North America,Administration/Education,FALSE,0.48148148148148145,0.14814814814814814
2,4,3,4,3,FALSE,FALSE,Star Wars,Star Trek,45,Female,North America,Administration/Education,FALSE,0.7037037037037037,0.5185185185185185
4,4,4,4,3,FALSE,FALSE,Star Wars,Star Trek,45,Male,North America,Administration/Education,FALSE,0.7777777777777778,0.5185185185185185
4,5,4,4,3,FALSE,FALSE,Star Wars,Star Wars,35,Female,North America,Tech,FALSE,0.8518518518518519,0.5185185185185185
3,3,3,2,3,FALSE,FALSE,Star Wars,Star Trek,35,Female,North America,Tech,FALSE,0.6296296296296297,0.37037037037037035
3,3,3,4,4,FALSE,FALSE,Star Trek,Star Trek,35,Female,North America,Personal Trainer,FALSE,0.4444444444444444,0.7777777777777778
4,4,3,2,2,FALSE,FALSE,Star Wars,Star Wars,45,Female,North America,Administration/Education,FALSE,0.7037037037037037,0.2962962962962963
1,3,2,1,1,FALSE,FALSE,Star Wars,Star Wars,35,Female,North America,arts ,FALSE,0.5555555555555556,0.14814814814814814
3,5,4,4,3,FALSE,FALSE,Star Wars,Star Wars,35,Male,North America,Film/TV,FALSE,0.8518518518518519,0.5185185185185185
4,3,3,2,2,FALSE,FALSE,Star Wars,Star Trek,35,Female,North America,Genealogy ,FALSE,0.6296296296296297,0.2962962962962963
3,4,4,4,4,FALSE,FALSE,Star Wars,Star Trek,35,Male,North America,Marketing,FALSE,0.7777777777777778,0.5925925925925926
5,4,5,5,4,TRUE,FALSE,Star Wars,Star Wars,35,Male,North America,Administration/Education,FALSE,0.9259259259259259,0.7407407407407407
2,2,2,1,1,FALSE,FALSE,neither,neither,35,Female,North America,Administration/Education,FALSE,0.2962962962962963,0.14814814814814814
3,2,4,3,3,FALSE,FALSE,neither,Star Trek,45,Male,North America,Finance/Economics/Business,FALSE,0.4444444444444444,0.4444444444444444
4,3,2,2,1,FALSE,FALSE,Star Wars,Star Wars,45,Female,North America,Administration/Education,FALSE,0.5555555555555556,0.2222222222222222
5,5,5,5,5,FALSE,FALSE,both,Star Trek,45,Other,Asia,Starfleet Officer,FALSE,0.9259259259259259,0.9259259259259259
